current_player,turns_played,white_pawn,white_knight,white_bishop,white_rook,white_queen,black_pawn,black_knight,black_bishop,black_rook,black_queen,white_double_pawns,black_double_pawns,white_isolated_pawns,black_isolated_pawns,white_passed_pawns,black_passed_pawns,white_mobility,black_mobility,winner
0,68,5,1,0,1,0,5,0,0,0,0,1,0,0,1,1,0,22,8,0
0,100,5,1,0,1,0,2,0,0,1,0,0,0,1,0,3,0,27,17,0
1,31,4,1,2,2,1,5,1,1,2,1,0,0,2,0,1,2,44,33,0
1,15,8,2,2,2,1,8,2,1,2,1,0,0,0,0,0,0,45,33,1
0,24,7,1,1,2,1,7,1,1,2,1,1,0,0,0,0,0,46,29,1
0,20,6,1,2,2,1,7,2,1,2,1,0,0,0,0,0,0,45,46,1
1,39,8,1,1,2,1,5,1,1,1,1,1,0,0,0,2,0,50,27,0
0,54,5,0,1,2,1,5,1,1,2,1,0,0,0,1,1,0,33,46,0
0,8,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,41,34,0
0,54,6,0,1,2,1,6,1,2,1,1,0,0,2,2,2,2,33,36,1
0,10,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,41,36,1
0,50,6,1,0,2,1,7,0,0,2,1,0,1,2,0,0,1,40,33,0
0,20,8,2,0,2,1,8,0,2,2,1,1,0,0,0,0,0,39,39,0
1,9,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,39,35,0
1,43,5,1,0,2,1,6,1,0,1,1,0,0,0,0,0,0,40,23,0
1,51,5,1,1,2,1,4,0,2,2,1,0,0,2,0,1,1,50,58,0
1,57,6,1,0,1,0,6,1,0,1,0,0,0,0,0,0,0,23,23,0
1,17,8,2,2,2,1,8,2,1,2,1,0,0,0,0,0,0,38,26,1
1,13,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,43,37,1
1,33,7,0,1,2,1,6,0,1,2,1,1,0,3,2,2,2,34,46,0
1,25,7,2,2,2,1,7,2,2,2,1,0,0,0,0,0,0,46,41,0
0,28,6,1,1,2,1,7,1,1,2,1,0,0,0,0,0,0,39,45,1
0,16,6,1,2,2,1,6,1,2,2,1,0,0,0,0,0,0,47,39,1
1,7,7,2,2,2,1,8,2,2,2,1,0,1,0,0,0,0,37,30,1
0,32,5,1,0,2,1,6,0,1,2,1,1,0,2,0,0,2,27,45,1
1,45,4,0,1,1,1,5,0,0,1,1,0,0,1,1,1,1,47,41,0
1,15,8,2,1,2,1,8,1,2,2,1,0,1,0,0,0,0,36,35,1
0,26,8,1,1,2,1,7,2,1,1,1,1,1,0,1,1,0,33,25,0
1,57,5,1,0,2,1,6,1,0,1,1,0,0,3,0,0,2,35,36,1
0,28,7,2,1,1,1,7,1,2,2,1,0,0,0,0,0,0,42,49,1
1,19,7,2,1,2,1,6,1,1,2,1,1,0,0,0,0,0,55,37,1
1,43,6,1,1,2,1,7,0,2,2,1,0,0,0,0,0,0,30,58,1
1,19,8,2,2,2,1,7,1,2,2,0,0,0,0,0,0,0,43,34,0
0,2,8,2,2,2,1,8,2,2,2,1,0,0,0,0,0,0,29,29,0
0,94,2,0,0,0,0,3,0,0,1,1,0,0,0,0,1,0,8,36,1
1,35,6,1,1,2,0,7,0,1,2,0,0,0,0,0,0,0,36,35,1
0,34,5,1,1,2,1,6,0,2,2,1,1,1,2,0,0,1,35,45,1
